Instance With 50 Items
1106 	50
1 	83 	106
2 	98 	165
3 	35 	204
4 	35 	198
5 	34 	193
6 	8 	71
7 	41 	179
8 	20 	219
9 	46 	126
10 	13 	74
11 	44 	112
12 	66 	129
13 	75 	68
14 	52 	33
15 	77 	184
16 	46 	174
17 	40 	110
18 	67 	47
19 	87 	101
20 	91 	117
21 	15 	214
22 	86 	7
23 	68 	36
24 	86 	80
25 	21 	182
26 	38 	92
27 	30 	109
28 	83 	191
29 	53 	155
30 	30 	31
31 	74 	204
32 	76 	21
33 	83 	101
34 	68 	162
35 	7 	88
36 	75 	33
37 	7 	106
38 	46 	33
39 	81 	64
40 	56 	28
41 	52 	165
42 	65 	151
43 	13 	167
44 	25 	214
45 	23 	33
46 	65 	162
47 	68 	18
48 	33 	71
49 	5 	99
50 	89 	108
