Instance With 45 Items
655 	45
1 	27 	67
2 	37 	44
3 	60 	74
4 	19 	22
5 	16 	91
6 	22 	96
7 	10 	84
8 	58 	34
9 	49 	59
10 	47 	127
11 	26 	2
12 	61 	82
13 	10 	73
14 	69 	114
15 	78 	17
16 	65 	72
17 	27 	3
18 	46 	128
19 	66 	1
20 	58 	101
21 	40 	97
22 	8 	21
23 	75 	31
24 	52 	10
25 	63 	105
26 	100 	87
27 	25 	102
28 	58 	94
29 	8 	8
30 	19 	8
31 	40 	55
32 	13 	40
33 	10 	35
34 	65 	44
35 	13 	18
36 	56 	50
37 	90 	41
38 	49 	13
39 	16 	56
40 	40 	77
41 	26 	125
42 	26 	35
43 	92 	50
44 	34 	117
45 	34 	84
