Instance With 49 Items
911 	49
1 	98 	38
2 	91 	157
3 	88 	83
4 	8 	149
5 	33 	30
6 	16 	158
7 	5 	102
8 	68 	98
9 	61 	149
10 	8 	162
11 	38 	64
12 	30 	107
13 	10 	36
14 	92 	74
15 	9 	42
16 	89 	180
17 	65 	91
18 	33 	32
19 	15 	116
20 	68 	16
21 	17 	180
22 	15 	173
23 	59 	108
24 	29 	37
25 	99 	117
26 	9 	160
27 	33 	21
28 	19 	176
29 	96 	68
30 	87 	76
31 	12 	112
32 	53 	177
33 	63 	26
34 	71 	3
35 	96 	75
36 	58 	164
37 	9 	4
38 	56 	28
39 	5 	136
40 	72 	133
41 	98 	151
42 	67 	111
43 	74 	164
44 	37 	92
45 	8 	12
46 	65 	70
47 	83 	4
48 	63 	18
49 	85 	162
