Instance With 47 Items
1098 	47
1 	69 	137
2 	67 	23
3 	75 	56
4 	58 	20
5 	80 	137
6 	60 	16
7 	71 	201
8 	96 	164
9 	67 	98
10 	95 	217
11 	24 	159
12 	17 	137
13 	5 	185
14 	37 	145
15 	18 	212
16 	61 	75
17 	91 	93
18 	54 	5
19 	88 	101
20 	79 	170
21 	29 	187
22 	27 	149
23 	100 	34
24 	52 	193
25 	52 	98
26 	44 	207
27 	23 	126
28 	79 	116
29 	28 	169
30 	64 	201
31 	49 	9
32 	41 	62
33 	93 	211
34 	98 	2
35 	63 	168
36 	52 	131
37 	49 	78
38 	37 	193
39 	86 	174
40 	89 	6
41 	12 	180
42 	19 	104
43 	61 	29
44 	30 	173
45 	66 	95
46 	12 	23
47 	10 	71
