Instance With 44 Items
1212 	44
1 	66 	76
2 	21 	200
3 	68 	129
4 	86 	166
5 	71 	60
6 	81 	154
7 	50 	237
8 	73 	157
9 	72 	161
10 	84 	187
11 	19 	62
12 	34 	58
13 	81 	115
14 	69 	95
15 	82 	122
16 	90 	137
17 	29 	12
18 	26 	184
19 	44 	2
20 	34 	205
21 	53 	85
22 	81 	171
23 	95 	221
24 	100 	8
25 	99 	124
26 	29 	72
27 	16 	137
28 	64 	66
29 	67 	31
30 	69 	48
31 	34 	85
32 	66 	48
33 	67 	180
34 	91 	174
35 	59 	235
36 	32 	39
37 	77 	91
38 	38 	75
39 	67 	141
40 	43 	214
41 	23 	89
42 	36 	43
43 	59 	23
44 	97 	84
