Instance With 46 Items
1293 	46
1 	58 	249
2 	69 	25
3 	22 	234
4 	32 	185
5 	96 	122
6 	21 	173
7 	82 	181
8 	30 	140
9 	27 	21
10 	24 	152
11 	80 	27
12 	88 	237
13 	70 	205
14 	6 	206
15 	49 	200
16 	27 	238
17 	45 	189
18 	8 	13
19 	66 	177
20 	87 	245
21 	46 	232
22 	81 	122
23 	12 	133
24 	74 	19
25 	74 	220
26 	11 	76
27 	41 	228
28 	35 	205
29 	100 	165
30 	33 	59
31 	28 	47
32 	71 	154
33 	74 	182
34 	97 	8
35 	64 	135
36 	21 	210
37 	40 	243
38 	65 	133
39 	47 	158
40 	25 	122
41 	30 	201
42 	56 	256
43 	44 	73
44 	94 	237
45 	26 	24
46 	27 	235
